name,totalCommits,reachableCommits,mainBranchReachableCommits,mergeCommits,filesInTree,uniqueAuthorsInRepo,avgFullHistoryLength,avgLinearHistoryLength,filesWithDifferentHistories,avgFullHistoryLengthForFilesWithDifferentHistories,avgLinearHistoryLengthForFilesWithDifferentHistories,avgAuthorsPerFileFullHistory,avgAuthorsPerFileLinearHistory,avgAuthorsPerFileFullHistoryForFilesWithDifference,avgAuthorsPerFileLinearHistoryForFilesWithDifference
Tooblippe/python_introduction,33,32,31,1,199,2,1.35678391959799,1.35678391959799,0,0.0,0.0,1.0,1.0,NaN,NaN
gkumar10/Practical-Machine-Learning,23,1,1,0,3,2,1.0,1.0,0,0.0,0.0,1.0,1.0,NaN,NaN
CommonsCloud/CommonsRestless,956,949,665,147,64,61,25.96875,17.96875,39,41.23076923076923,28.102564102564102,3.5,1.953125,5.051282051282051,2.5128205128205128
osuosl/timesync-frontend-django,72,71,9,13,30,4,3.6333333333333333,1.2666666666666666,8,10.0,1.125,1.0666666666666667,1.0,1.25,1.0
DeRaafMedia/ProjectIRCInteractivity,48,48,31,3,17,3,2.9411764705882355,2.9411764705882355,0,0.0,0.0,1.3529411764705883,1.3529411764705883,NaN,NaN
ZFFramework/ZFFramework,69,69,69,0,1656,1,1.538647342995169,1.538647342995169,0,0.0,0.0,1.0,1.0,NaN,NaN
duomark/elysium,192,192,62,44,37,4,9.54054054054054,1.8918918918918919,24,13.833333333333334,2.0416666666666665,1.4864864864864864,1.054054054054054,1.75,1.0833333333333333
the-domains/roger-shaw,35,9,9,0,7,1,1.0,1.0,0,0.0,0.0,1.0,1.0,NaN,NaN
apache/maven-archetype,1182,1134,964,2,613,39,7.109298531810767,5.278955954323002,247,13.295546558704453,8.753036437246964,2.776508972267537,2.238172920065253,4.222672064777328,2.88663967611336
johnpwillman/inmemorydb,34,34,34,0,32,1,5.0,5.0,0,0.0,0.0,1.0,1.0,NaN,NaN
pilovieira/guebos,33,33,33,0,5,1,7.4,7.4,0,0.0,0.0,1.0,1.0,NaN,NaN
rwth-i6/returnn,5238,5238,2164,521,247,50,32.24291497975708,14.59919028340081,182,42.95054945054945,19.005494505494507,3.242914979757085,2.3684210526315788,3.9615384615384617,2.7747252747252746
andrewkatz/gdobstars,25,25,25,0,7874,1,1.0060960121920244,1.0060960121920244,0,0.0,0.0,1.0,1.0,NaN,NaN
liyforever/mini_stl,59,59,59,0,48,1,6.75,6.75,0,0.0,0.0,1.0,1.0,NaN,NaN
zipolitana/bubble,1,1,1,0,1,1,1.0,1.0,0,0.0,0.0,1.0,1.0,NaN,NaN
zoie0312/learning-curve,6,6,6,0,219,1,1.0,1.0,0,0.0,0.0,1.0,1.0,NaN,NaN
